茊 茲
蓭 庵
艊 舶
艁 造
䑚 甜
舓 舐
舎 舍
臰 臭
腁 胼
脿 臕
脵 股
脴 痞
肔 胣
肈 肇
肁 肇
聮 聯
聫 聯
聨 聯
聦 聰
聡 聰
耈 耇
鄼 酇
鄷 酆
郶 部
郷 鄉
鄊 鄉
鄕 鄉
鄥 鄡
翤 翅
翝 翃
翖 翕
翆 翠
羮 羹
羄 䍜
羂 罥
羀 罶
纝 縲
㡳 底
繛 綽
繊 纖
縘 繫
縄 繩
縁 緣
緿 紿
緖 緒
㡰 宇
㡭 繼
緕 纃
緍 緡
糵 糱
糓 穀
糂 糝
粠 䉺
䉽 粄
䉼 料
粋 粹
籶 籸
篭 籠
箟 箘
箆 篦
筿 篠
簘 簫
箲 筅
簈 箳
㔰 恆
筓 笄
笶 矢
笧 冊
笟 箍
窽 窾
窂 牢
稲 稻
秗 飫
秐 耘
禥 祺
禞 祰
禉 槱
禆 裨
祶 禘
祬 祗
礲 礱
礠 磁
礕 礔
碝 礝
碒 崟
硵 磠
硂 銓
砿 礦
砤 砣
矟 槊
矒 瞢
疞 㽳
矈 矏
睤 睥
眿 眽
盽 䀱
癝 癛
癕 癰
癏 瘝
癎 癇
㿀 癍
瘶 嗽
瘬 脹
痩 瘦
畺 疆
畻 塍
畵 畫
畳 疊
甛 甜
甁 瓶
瓫 盆
瓑 瓅
瓎 㻝
瓉 瓚
璄 璟
瑻 琨
瑌 瓀
琾 玠
琞 聖
珷 碔
珱 瓔
蛠 珕
㺍 猵
猯 貒
猟 獵
爼 俎
爥 燭
爤 爛
爀 赫
燗 爛
熺 熹
熫 炙
熦 爝
熢 烽
焤 腐
焔 焰
焏 亟
烾 赤
烮 烈
烣 恢
炗 光
灻 赤
燑 烔
灳 輝
灲 灱
瀬 瀨
瀥 滈
瀒 濇
瀐 瀸
澟 凜
澘 潸
澏 浛
潹 潺
漑 溉
潨 潀
滣 漘
滝 瀧
㶏 濦
㶎 澴
㶉 鸂
溌 潑
満 滿
湽 淄
湶 泉
㶚 灞
葓 葒
湙 㴒
溬 㳾
渷 沇
渪 濡
渁 淵
渆 淵
渇 渴
渉 涉
淧 㴵
涙 淚
㳮 尿
㔚 劶
㔘 黜
浲 漨
浱 漘
燓 焚
炲 炱
煿 爆
煼 炒
煺 㷟
㷠 燐
煭 烈
㷀 煢
㶽 煱
㶻 烽
㶳 燼
㶵 飪
㶶 燶
燳 照
爏 㷴
㷸 燁
㷶 煏
洤 泉
洜 洛
洂 液
泴 盥
㔉 斸
泎 灂
灇 潀
灎 灩
灍 㵐
㵓 湜
沲 沱
泈 汷
謢 護
誈 誣
誯 唱
諁 啜
諊 鞫
讏 讆
衜 道
衟 道
讍 諤
讃 讚
讇 諂
㓷 劓
氎 㲲
㲱 鬣
㽮 星
汓 泅
牱 牁
毺 毹
毴 屄
㓯 劙
